Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
12,33,22,1,0,54.54,2,lbw,1,,v Sri Lanka,Dambulla,2008-08-18 12:00:00,2742
37,82,67,6,0,55.22,2,caught,2,,v Sri Lanka,Dambulla,2008-08-20 12:00:00,2745
25,40,38,4,0,65.78,1,run out,1,,v Sri Lanka,Colombo (RPS),2008-08-24 12:00:00,2750
54,87,66,7,0,81.81,1,bowled,1,,v Sri Lanka,Colombo (RPS),2008-08-27 12:00:00,2755
31,45,46,3,1,67.39,1,lbw,2,,v Sri Lanka,Colombo (RPS),2008-08-29 12:00:00,2756
2*,6,2,0,0,100,7,not out,1,,v Sri Lanka,Colombo (RPS),2009-09-14 12:00:00,2889
16,28,24,1,0,66.66,4,caught,2,,v Pakistan,Centurion,2009-09-26 12:00:00,2898
TDNB,-,-,-,-,-,-,-,-,,v Australia,Centurion,2009-09-28 12:00:00,2901
79*,121,104,9,2,75.96,4,not out,2,,v West Indies,Johannesburg,2009-09-30 12:00:00,2904
30,53,41,3,0,73.17,4,caught,2,,v Australia,Vadodara,2009-10-25 12:00:00,2913
10,32,16,1,0,62.5,3,caught,2,,v Australia,Mohali,2009-11-02 12:00:00,2919
27,20,19,4,0,142.1,7,bowled,1,,v Sri Lanka,Rajkot,2009-12-15 12:00:00,2932
54,93,65,7,0,83.07,4,lbw,1,,v Sri Lanka,Nagpur,2009-12-18 12:00:00,2933
107,-,114,11,1,93.85,4,caught,2,,v Sri Lanka,Kolkata,2009-12-24 12:00:00,2935
TDNB,-,-,-,-,-,-,-,-,,v Sri Lanka,Delhi,2009-12-27 12:00:00,2936
9,19,12,1,0,75,3,caught,1,,v Sri Lanka,Dhaka,2010-01-05 12:00:00,2938
91,136,102,7,0,89.21,3,caught,2,,v Bangladesh,Dhaka,2010-01-07 12:00:00,2939
71*,98,68,9,0,104.41,3,not out,2,,v Sri Lanka,Dhaka,2010-01-10 12:00:00,2941
102*,128,95,11,0,107.36,3,not out,2,,v Bangladesh,Dhaka,2010-01-11 12:00:00,2942
2,6,8,0,0,25,3,caught,1,,v Sri Lanka,Dhaka,2010-01-13 12:00:00,2943
31,-,46,1,0,67.39,5,caught,1,,v South Africa,Jaipur,2010-02-21 12:00:00,2961
DNB,-,-,-,-,-,-,-,1,,v South Africa,Gwalior,2010-02-24 12:00:00,2962
57,-,71,4,1,80.28,3,caught,2,,v South Africa,Ahmedabad,2010-02-27 12:00:00,2963
0,3,0,0,0,-,3,run out,1,,v Zimbabwe,Bulawayo,2010-05-28 12:00:00,2981
82,125,92,4,0,89.13,3,caught,2,,v Sri Lanka,Bulawayo,2010-05-30 12:00:00,2983
18,28,29,1,0,62.06,3,caught,1,,v Zimbabwe,Harare,2010-06-03 12:00:00,2986
68,123,95,5,0,71.57,3,caught,1,,v Sri Lanka,Harare,2010-06-05 12:00:00,2988
11,35,22,0,0,50,3,stumped,2,,v Bangladesh,Dambulla,2010-06-16 12:00:00,2993
18,31,27,1,0,66.66,3,bowled,2,,v Pakistan,Dambulla,2010-06-19 12:00:00,2996
10,13,14,1,0,71.42,3,caught,1,,v Sri Lanka,Dambulla,2010-06-22 12:00:00,2999
28,57,34,4,0,82.35,3,caught,1,,v Sri Lanka,Dambulla,2010-06-24 12:00:00,3001
0,5,3,0,0,0,3,caught,2,,v Sri Lanka,Dambulla,2010-08-16 12:00:00,3032
8,22,16,1,0,50,3,caught,1,,v New Zealand,Dambulla,2010-08-25 12:00:00,3039
37,98,57,5,0,64.91,3,caught,2,,v Sri Lanka,Dambulla,2010-08-28 12:00:00,3040
118,193,121,11,1,97.52,3,caught,2,,v Australia,Visakhapatnam,2010-10-20 12:00:00,3060
105,162,104,10,0,100.96,3,caught,1,,v New Zealand,Guwahati,2010-11-28 12:00:00,3070
64,78,73,8,0,87.67,3,caught,2,,v New Zealand,Jaipur,2010-12-01 12:00:00,3072
63*,83,70,6,2,90,3,not out,2,,v New Zealand,Vadodara,2010-12-04 12:00:00,3074
0,3,2,0,0,0,3,caught,2,,v New Zealand,Bengaluru,2010-12-07 12:00:00,3076
2,10,8,0,0,25,3,caught,2,,v New Zealand,Chennai,2010-12-10 12:00:00,3077
54,122,70,2,1,77.14,3,caught,2,,v South Africa,Durban,2011-01-12 12:00:00,3079
22,43,34,1,0,64.7,3,run out,1,,v South Africa,Johannesburg,2011-01-15 12:00:00,3080
28,51,41,5,0,68.29,3,caught,2,,v South Africa,Cape Town,2011-01-18 12:00:00,3082
87*,126,92,7,2,94.56,3,not out,2,,v South Africa,Port Elizabeth,2011-01-21 12:00:00,3084
2,11,6,0,0,33.33,3,caught,2,,v South Africa,Centurion,2011-01-23 12:00:00,3087
100*,113,83,8,2,120.48,4,not out,1,,v Bangladesh,Dhaka,2011-02-19 12:00:00,3100
8,12,5,1,0,160,7,bowled,1,,v England,Bengaluru,2011-02-27 12:00:00,3110
34,82,53,3,0,64.15,4,run out,2,,v Ireland,Bengaluru,2011-03-06 12:00:00,3121
12,16,20,2,0,60,5,bowled,2,,v Netherlands,Delhi,2011-03-09 12:00:00,3124
1,2,3,0,0,33.33,7,caught,1,,v South Africa,Nagpur,2011-03-12 12:00:00,3128
59,128,76,5,0,77.63,3,bowled,1,,v West Indies,Chennai,2011-03-20 12:00:00,3141
24,38,33,1,0,72.72,4,caught,2,,v Australia,Ahmedabad,2011-03-24 12:00:00,3143
9,20,21,0,0,42.85,4,caught,1,,v Pakistan,Mohali,2011-03-30 12:00:00,3147
35,69,49,4,0,71.42,4,caught,2,,v Sri Lanka,Mumbai,2011-04-02 12:00:00,3148
2,5,8,0,0,25,3,caught,2,,v West Indies,Port of Spain,2011-06-06 12:00:00,3159
81,118,103,6,1,78.64,3,caught,2,,v West Indies,Port of Spain,2011-06-08 12:00:00,3160
0,1,1,0,0,0,3,lbw,2,,v West Indies,North Sound,2011-06-11 12:00:00,3161
22,68,33,1,0,66.66,3,stumped,2,,v West Indies,North Sound,2011-06-13 12:00:00,3162
94,135,104,10,0,90.38,3,run out,1,,v West Indies,Kingston,2011-06-16 12:00:00,3163
55,92,73,4,0,75.34,4,bowled,1,,v England,Chester-le-Street,2011-09-03 12:00:00,3186
9,9,9,0,0,100,4,caught,1,,v England,Southampton,2011-09-06 12:00:00,3187
7,18,18,0,0,38.88,4,caught,1,,v England,The Oval,2011-09-09 12:00:00,3189
16,40,36,1,0,44.44,4,caught,1,,v England,Lord's,2011-09-11 12:00:00,3191
107,102,93,9,1,115.05,4,hit wicket,1,,v England,Cardiff,2011-09-16 12:00:00,3195
37,70,63,0,0,58.73,4,caught,1,,v England,Hyderabad (Deccan),2011-10-14 12:00:00,3199
112*,134,98,16,0,114.28,4,not out,2,,v England,Delhi,2011-10-17 12:00:00,3201
35,42,30,5,0,116.66,4,lbw,2,,v England,Mohali,2011-10-20 12:00:00,3205
86*,-,99,11,0,86.86,4,not out,2,,v England,Mumbai,2011-10-23 12:00:00,3207
0,5,5,0,0,0,3,bowled,1,,v England,Kolkata,2011-10-25 12:00:00,3210
3,13,6,0,0,50,4,bowled,2,,v West Indies,Cuttack,2011-11-29 12:00:00,3217
117,154,123,14,0,95.12,4,caught,2,,v West Indies,Visakhapatnam,2011-12-02 12:00:00,3219
20,21,30,3,0,66.66,4,lbw,2,,v West Indies,Ahmedabad,2011-12-05 12:00:00,3221
23*,15,11,3,0,209.09,6,not out,1,,v West Indies,Indore,2011-12-08 12:00:00,3223
80,99,85,5,0,94.11,5,caught,1,,v West Indies,Chennai,2011-12-11 12:00:00,3224
31,30,34,3,0,91.17,3,caught,2,,v Australia,Melbourne,2012-02-05 12:00:00,3231
77,156,94,8,1,81.91,3,run out,2,,v Sri Lanka,Perth,2012-02-08 12:00:00,3233
18,41,28,1,0,64.28,3,caught,2,,v Australia,Adelaide,2012-02-12 12:00:00,3237
15,32,25,1,0,60,3,lbw,2,,v Sri Lanka,Adelaide,2012-02-14 12:00:00,3239
12,44,25,0,0,48,3,caught,2,,v Australia,Brisbane,2012-02-19 12:00:00,3244
66,116,83,2,0,79.51,4,caught,2,,v Sri Lanka,Brisbane,2012-02-21 12:00:00,3246
21,36,27,2,0,77.77,4,caught,2,,v Australia,Sydney,2012-02-26 12:00:00,3250
133*,133,86,16,2,154.65,4,not out,2,,v Sri Lanka,Hobart,2012-02-28 12:00:00,3251
108,148,120,7,0,90,3,caught,1,,v Sri Lanka,Dhaka,2012-03-13 12:00:00,3259
66,126,82,5,0,80.48,3,bowled,1,,v Bangladesh,Dhaka,2012-03-16 12:00:00,3261
183,211,148,22,1,123.64,3,caught,2,,v Pakistan,Dhaka,2012-03-18 12:00:00,3263
106,158,113,9,0,93.8,3,caught,1,,v Sri Lanka,Hambantota,2012-07-21 12:00:00,3291
1,6,5,0,0,20,3,caught,1,,v Sri Lanka,Hambantota,2012-07-24 12:00:00,3292
38,80,65,2,0,58.46,3,caught,2,,v Sri Lanka,Colombo (RPS),2012-07-28 12:00:00,3293
128*,187,119,12,1,107.56,3,not out,2,,v Sri Lanka,Colombo (RPS),2012-07-31 12:00:00,3294
23,42,35,2,0,65.71,3,lbw,1,,v Sri Lanka,Pallekele,2012-08-04 12:00:00,3295
0,9,5,0,0,0,3,bowled,1,,v Pakistan,Chennai,2012-12-30 12:00:00,3314
6,12,9,1,0,66.66,3,caught,2,,v Pakistan,Kolkata,2013-01-03 12:00:00,3315
7,25,17,1,0,41.17,3,caught,1,,v Pakistan,Delhi,2013-01-06 12:00:00,3316
15,45,22,1,0,68.18,3,caught,2,,v England,Rajkot,2013-01-11 12:00:00,3318
37,86,54,1,1,68.51,3,caught,1,,v England,Kochi,2013-01-15 12:00:00,3320
77*,110,79,9,2,97.46,3,not out,2,,v England,Ranchi,2013-01-19 12:00:00,3322
26,44,33,3,0,78.78,3,caught,2,,v England,Mohali,2013-01-23 12:00:00,3327
0,1,1,0,0,0,3,caught,1,,v England,Dharamsala,2013-01-27 12:00:00,3329
31,46,41,2,0,75.6,3,caught,1,,v South Africa,Cardiff,2013-06-06 12:00:00,3363
22,18,18,4,0,122.22,3,bowled,2,,v West Indies,The Oval,2013-06-11 12:00:00,3368
22*,36,27,3,0,81.48,3,not out,2,,v Pakistan,Birmingham,2013-06-15 12:00:00,3372
58*,80,64,4,1,90.62,3,not out,2,,v Sri Lanka,Cardiff,2013-06-20 12:00:00,3376
43,66,34,4,1,126.47,3,caught,1,,v England,Birmingham,2013-06-23 12:00:00,3377
11,19,21,0,1,52.38,3,caught,1,,v West Indies,Kingston,2013-06-30 12:00:00,3380
2,6,5,0,0,40,4,caught,2,,v Sri Lanka,Kingston,2013-07-02 12:00:00,3382
