Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Match No
4.0,0,27,1,6.75,27.00,24.0,,v New Zealand,Dubai (DSC),4 Dec 2014,411
4.0,0,33,2,8.25,16.50,12.0,,v New Zealand,Dubai (DSC),5 Dec 2014,412
3.0,0,25,0,8.33,-,-,,v Bangladesh,Dhaka,24 Apr 2015,416
3.0,0,28,0,9.33,-,-,,v Zimbabwe,Lahore,22 May 2015,417
4.0,0,36,1,9.00,36.00,24.0,,v Zimbabwe,Lahore,24 May 2015,418
4.0,0,31,0,7.75,-,-,,v Sri Lanka,Colombo (RPS),30 Jul 2015,448
4.0,0,30,1,7.50,30.00,24.0,,v Sri Lanka,Colombo (RPS),1 Aug 2015,449
3.0,0,23,0,7.66,-,-,,v Zimbabwe,Harare,27 Sep 2015,454
4.0,0,26,0,6.50,-,-,,v Zimbabwe,Harare,29 Sep 2015,455
4.0,0,33,0,8.25,-,-,,v England,Dubai (DSC),26 Nov 2015,468
4.0,0,15,3,3.75,5.00,8.0,,v England,Dubai (DSC),27 Nov 2015,469
4.0,0,19,2,4.75,9.50,12.0,,v England,Sharjah,30 Nov 2015,473
4.0,1,26,2,6.50,13.00,12.0,,v New Zealand,Auckland,15 Jan 2016,478
4.0,0,38,0,9.50,-,-,,v New Zealand,Hamilton,17 Jan 2016,480
4.0,0,27,1,6.75,27.00,24.0,,v New Zealand,Wellington,22 Jan 2016,483
-,-,-,-,-,-,-,,v India,Dhaka,27 Feb 2016,512
4.0,0,24,1,6.00,24.00,24.0,,v U.A.E.,Dhaka,29 Feb 2016,514
4.0,0,20,1,5.00,20.00,24.0,,v Bangladesh,Dhaka,2 Mar 2016,516
4.0,0,24,0,6.00,-,-,,v Sri Lanka,Dhaka,4 Mar 2016,518
4.0,0,27,2,6.75,13.50,12.0,,v Bangladesh,Kolkata,16 Mar 2016,536
4.0,0,25,0,6.25,-,-,,v India,Kolkata,19 Mar 2016,541
4.0,0,40,2,10.00,20.00,12.0,,v New Zealand,Mohali,22 Mar 2016,545
4.0,0,27,0,6.75,-,-,,v Australia,Mohali,25 Mar 2016,548
