Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
27*,42,27,4,1,100.00,2,not out,2,,v England,Hamilton,17 Feb 2013,3335
103*,202,123,8,4,83.73,2,not out,2,,v England,Lord's,31 May 2013,3360
189*,216,155,19,2,121.93,1,not out,1,,v England,Southampton,2 Jun 2013,3361
38,41,36,6,1,105.55,2,bowled,2,,v England,Nottingham,5 Jun 2013,3362
25,52,24,4,0,104.16,1,caught,2,,v Sri Lanka,Cardiff,9 Jun 2013,3366
8,17,13,1,0,61.53,2,caught,2,,v Australia,Birmingham,12 Jun 2013,3369
9,18,12,1,0,75.00,1,bowled,2,,v England,Cardiff,16 Jun 2013,3373
2,16,17,0,0,11.76,1,lbw,1,,v West Indies,Auckland,26 Dec 2013,3449
1,7,7,0,0,14.28,1,caught,1,,v West Indies,Queenstown,1 Jan 2014,3451
81,166,119,4,2,68.06,1,caught,1,,v West Indies,Nelson,4 Jan 2014,3452
6,14,10,0,0,60.00,1,bowled,2,,v West Indies,Hamilton,8 Jan 2014,3453
8,32,23,1,0,34.78,1,caught,1,,v India,Napier,19 Jan 2014,3456
44,77,65,5,1,67.69,1,caught,1,,v India,Hamilton,22 Jan 2014,3458
111,141,129,12,2,86.04,1,caught,1,,v India,Auckland,25 Jan 2014,3462
35,35,27,6,1,129.62,1,lbw,2,,v India,Hamilton,28 Jan 2014,3465
16,54,35,2,0,45.71,1,caught,1,,v India,Wellington,31 Jan 2014,3467
5,42,29,0,0,17.24,1,caught,1,,v South Africa,Mount Maunganui,21 Oct 2014,3536
11,31,29,1,0,37.93,1,caught,2,,v South Africa,Mount Maunganui,24 Oct 2014,3537
TDNB,-,-,-,-,-,-,-,-,,v South Africa,Hamilton,27 Oct 2014,3538
12,25,19,1,0,63.15,1,caught,2,,v Pakistan,Sharjah,14 Dec 2014,3568
58,100,78,7,0,74.35,1,caught,1,,v Pakistan,Abu Dhabi,17 Dec 2014,3570
8,10,9,1,0,88.88,1,caught,1,,v Pakistan,Abu Dhabi,19 Dec 2014,3571
0,2,3,0,0,0.00,1,caught,2,,v Sri Lanka,Christchurch,11 Jan 2015,3574
10,27,19,2,0,52.63,1,caught,1,,v Sri Lanka,Hamilton,15 Jan 2015,3577
66*,116,78,4,3,84.61,1,not out,1,,v Sri Lanka,Auckland,17 Jan 2015,3580
20,33,27,1,1,74.07,1,caught,2,,v Sri Lanka,Nelson,20 Jan 2015,3585
0,1,1,0,0,0.00,1,caught,1,,v Sri Lanka,Dunedin,23 Jan 2015,3588
28,64,43,4,0,65.11,1,caught,1,,v Sri Lanka,Dunedin,25 Jan 2015,3590
0,1,1,0,0,0.00,1,lbw,2,,v Sri Lanka,Wellington,29 Jan 2015,3594
39,90,48,7,0,81.25,1,caught,2,,v Pakistan,Wellington,31 Jan 2015,3596
76,115,88,8,1,86.36,1,caught,1,,v Pakistan,Napier,3 Feb 2015,3598
49,94,62,5,0,79.03,1,caught,1,,v Sri Lanka,Christchurch,14 Feb 2015,3599
17,10,14,4,0,121.42,1,caught,2,,v Scotland,Dunedin,17 Feb 2015,3604
22,48,22,3,0,100.00,1,bowled,2,,v England,Wellington,20 Feb 2015,3607
11,-,14,1,1,78.57,1,caught,2,,v Australia,Auckland,28 Feb 2015,3617
57,123,76,7,0,75.00,1,run out,2,,v Afghanistan,Napier,8 Mar 2015,3628
105,132,100,11,2,105.00,1,caught,2,,v Bangladesh,Hamilton,13 Mar 2015,3634
237*,223,163,24,11,145.39,1,not out,1,,v West Indies,Wellington,21 Mar 2015,3643
34,80,38,3,1,89.47,1,run out,2,,v South Africa,Auckland,24 Mar 2015,3644
15,48,34,1,1,44.11,1,bowled,1,,v Australia,Melbourne,29 Mar 2015,3646
22,28,18,4,0,122.22,1,caught,2,,v England,Birmingham,9 Jun 2015,3654
50,83,54,6,1,92.59,1,caught,1,,v England,The Oval,12 Jun 2015,3655
2,8,6,0,0,33.33,1,lbw,2,,v England,Southampton,14 Jun 2015,3656
53,83,66,8,1,80.30,1,caught,1,,v England,Nottingham,17 Jun 2015,3657
67,126,73,6,1,91.78,1,caught,1,,v England,Chester-le-Street,20 Jun 2015,3659
11,16,17,2,0,64.70,1,caught,1,,v Zimbabwe,Harare,2 Aug 2015,3673
116*,169,138,11,1,84.05,1,not out,2,,v Zimbabwe,Harare,4 Aug 2015,3674
42,87,50,6,0,84.00,1,caught,1,,v Zimbabwe,Harare,7 Aug 2015,3675
25,25,23,2,1,108.69,4,caught,2,,v South Africa,Centurion,19 Aug 2015,3676
103*,189,134,9,3,76.86,1,not out,2,,v South Africa,Potchefstroom,23 Aug 2015,3677
10,19,18,1,0,55.55,1,caught,2,,v South Africa,Durban,26 Aug 2015,3678
79,77,56,9,4,141.07,1,caught,2,,v Sri Lanka,Christchurch,26 Dec 2015,3714
93*,40,30,9,8,310.00,1,not out,2,,v Sri Lanka,Christchurch,28 Dec 2015,3715
30,30,28,4,1,107.14,1,caught,1,,v Sri Lanka,Nelson,31 Dec 2015,3717
27,23,14,1,3,192.85,1,lbw,1,,v Sri Lanka,Nelson,2 Jan 2016,3718
102,157,109,9,3,93.57,1,caught,1,,v Sri Lanka,Mount Maunganui,5 Jan 2016,3721
11,23,17,1,1,64.70,1,caught,1,,v Pakistan,Wellington,25 Jan 2016,3728
82,124,81,8,3,101.23,1,caught,2,,v Pakistan,Auckland,31 Jan 2016,3730
90,107,76,8,5,118.42,1,run out,1,,v Australia,Auckland,3 Feb 2016,3731
31,64,45,4,0,68.88,1,caught,1,,v Australia,Wellington,6 Feb 2016,3733
59,84,61,4,3,96.72,1,caught,1,,v Australia,Hamilton,8 Feb 2016,3735
12,11,11,3,0,109.09,1,caught,1,,v India,Dharamsala,16 Oct 2016,3796
0,2,2,0,0,0.00,1,bowled,1,,v India,Delhi,20 Oct 2016,3797
27,31,21,2,2,128.57,1,lbw,1,,v India,Mohali,23 Oct 2016,3798
72,103,84,12,0,85.71,1,caught,1,,v India,Ranchi,26 Oct 2016,3799
0,2,4,0,0,0.00,1,bowled,2,,v India,Visakhapatnam,29 Oct 2016,3800
114,150,102,10,6,111.76,1,caught,2,,v Australia,Sydney,4 Dec 2016,3811
