Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Match No
9.0,0,51,0,5.66,-,-,,v Zimbabwe,Harare,27 Aug 2013,3404
5.0,0,32,0,6.40,-,-,,v Zimbabwe,Harare,29 Aug 2013,3406
6.0,1,29,1,4.83,29.00,36.0,,v Zimbabwe,Harare,31 Aug 2013,3408
9.0,1,37,3,4.11,12.33,18.0,,v South Africa,Sharjah,30 Oct 2013,3425
5.4,0,26,3,4.58,8.66,11.3,,v South Africa,Dubai (DSC),1 Nov 2013,3427
10.0,0,41,2,4.10,20.50,30.0,,v South Africa,Abu Dhabi,6 Nov 2013,3430
8.0,0,38,0,4.75,-,-,,v South Africa,Abu Dhabi,8 Nov 2013,3431
10.0,0,37,0,3.70,-,-,,v South Africa,Sharjah,11 Nov 2013,3433
7.0,0,34,1,4.85,34.00,42.0,,v South Africa,Cape Town,24 Nov 2013,3438
9.0,0,38,2,4.22,19.00,27.0,,v South Africa,Port Elizabeth,27 Nov 2013,3440
7.0,0,30,2,4.28,15.00,21.0,,v Sri Lanka,Sharjah,18 Dec 2013,3445
5.4,0,46,2,8.11,23.00,17.0,,v Sri Lanka,Dubai (DSC),20 Dec 2013,3446
9.0,0,41,1,4.55,41.00,54.0,,v Sri Lanka,Sharjah,22 Dec 2013,3447
7.0,0,37,0,5.28,-,-,,v Sri Lanka,Abu Dhabi,25 Dec 2013,3448
10.0,0,56,2,5.60,28.00,30.0,,v Sri Lanka,Fatullah,25 Feb 2014,3473
10.0,0,31,1,3.10,31.00,60.0,,v Afghanistan,Fatullah,27 Feb 2014,3475
8.0,0,38,0,4.75,-,-,,v India,Dhaka,2 Mar 2014,3479
10.0,0,64,0,6.40,-,-,,v Bangladesh,Dhaka,4 Mar 2014,3482
6.0,0,35,0,5.83,-,-,,v Sri Lanka,Dhaka,8 Mar 2014,3486
9.0,0,57,0,6.33,-,-,,v Sri Lanka,Hambantota,23 Aug 2014,3512
10.0,0,51,0,5.10,-,-,,v Sri Lanka,Hambantota,26 Aug 2014,3515
1.2,0,8,0,6.00,-,-,,v Sri Lanka,Dambulla,30 Aug 2014,3519
10.0,0,46,3,4.60,15.33,20.0,,v Australia,Sharjah,7 Oct 2014,3530
10.0,0,36,0,3.60,-,-,,v Australia,Dubai (DSC),10 Oct 2014,3532
10.0,1,44,2,4.40,22.00,30.0,,v Australia,Abu Dhabi,12 Oct 2014,3534
10.0,1,36,1,3.60,36.00,60.0,,v New Zealand,Dubai (DSC),8 Dec 2014,3564
10.0,0,47,2,4.70,23.50,30.0,,v New Zealand,Sharjah,12 Dec 2014,3566
9.2,0,37,3,3.96,12.33,18.6,,v New Zealand,Sharjah,14 Dec 2014,3568
10.0,0,46,1,4.60,46.00,60.0,,v New Zealand,Abu Dhabi,17 Dec 2014,3570
10.0,0,33,1,3.30,33.00,60.0,,v New Zealand,Abu Dhabi,19 Dec 2014,3571
10.0,0,39,1,3.90,39.00,60.0,,v New Zealand,Wellington,31 Jan 2015,3596
10.0,0,57,1,5.70,57.00,60.0,,v New Zealand,Napier,3 Feb 2015,3598
8.0,0,50,0,6.25,-,-,,v India,Adelaide,15 Feb 2015,3602
10.0,0,48,0,4.80,-,-,,v West Indies,Christchurch,21 Feb 2015,3608
10.0,1,53,0,5.30,-,-,,v Zimbabwe,Brisbane,1 Mar 2015,3620
10.0,1,35,2,3.50,17.50,30.0,,v U.A.E.,Napier,4 Mar 2015,3622
5.0,0,28,0,5.60,-,-,,v South Africa,Auckland,7 Mar 2015,3626
10.0,0,38,0,3.80,-,-,,v Ireland,Adelaide,15 Mar 2015,3639
4.0,0,30,0,7.50,-,-,,v Australia,Adelaide,20 Mar 2015,3642
