Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Match No
6.3,0,18,3,2.76,6.00,13.0,,v Zimbabwe,Multan,30 Sep 2004,2183
10.0,0,39,1,3.90,39.00,60.0,,v Zimbabwe,Peshawar,3 Oct 2004,2184
10.0,0,42,1,4.20,42.00,60.0,,v Sri Lanka,Karachi,6 Oct 2004,2185
8.0,0,57,1,7.12,57.00,48.0,,v Sri Lanka,Lahore,14 Oct 2004,2187
10.0,0,60,2,6.00,30.00,30.0,,v Sri Lanka,Lahore,16 Oct 2004,2188
10.0,0,29,2,2.90,14.50,30.0,,v India,Kolkata,13 Nov 2004,2192
9.0,0,43,1,4.77,43.00,54.0,,v Australia,Hobart,16 Jan 2005,2205
10.0,0,39,0,3.90,-,-,,v West Indies,Brisbane,19 Jan 2005,2206
8.0,0,22,0,2.75,-,-,,v Australia,Sydney,23 Jan 2005,2209
10.0,0,64,1,6.40,64.00,60.0,,v West Indies,Adelaide,28 Jan 2005,2213
10.0,0,45,2,4.50,22.50,30.0,,v Australia,Perth,30 Jan 2005,2215
10.0,0,47,2,4.70,23.50,30.0,,v West Indies,Perth,1 Feb 2005,2218
10.0,0,50,2,5.00,25.00,30.0,,v Australia,Melbourne,4 Feb 2005,2220
10.0,0,38,2,3.80,19.00,30.0,,v Australia,Sydney,6 Feb 2005,2222
10.0,0,50,0,5.00,-,-,,v India,Kochi,2 Apr 2005,2235
9.0,0,82,0,9.11,-,-,,v India,Visakhapatnam,5 Apr 2005,2236
2.0,0,20,0,10.00,-,-,,v India,Jamshedpur,9 Apr 2005,2237
9.0,0,50,0,5.55,-,-,,v India,Ahmedabad,12 Apr 2005,2238
6.0,0,33,0,5.50,-,-,,v India,Kanpur,15 Apr 2005,2239
4.0,0,10,2,2.50,5.00,12.0,,v India,Delhi,17 Apr 2005,2240
10.0,0,28,2,2.80,14.00,30.0,,v West Indies,Kingstown,18 May 2005,2246
10.0,1,38,4,3.80,9.50,15.0,,v West Indies,Gros Islet,21 May 2005,2247
6.0,0,35,0,5.83,-,-,,v West Indies,Gros Islet,22 May 2005,2248
2.0,0,13,1,6.50,13.00,12.0,,v Africa XI,Centurion,17 Aug 2005,2269
7.0,1,42,0,6.00,-,-,,v Africa XI,Durban,20 Aug 2005,2270
2.5,0,5,1,1.76,5.00,17.0,,v Africa XI,Durban,21 Aug 2005,2271
-,-,-,-,-,-,-,,v Australia,Melbourne (Docklands),5 Oct 2005,2282
-,-,-,-,-,-,-,,v Australia,Melbourne (Docklands),9 Oct 2005,2284
10.0,0,42,2,4.20,21.00,30.0,,v England,Karachi,15 Dec 2005,2306
7.0,0,34,3,4.85,11.33,14.0,,v England,Rawalpindi,19 Dec 2005,2307
10.0,0,37,1,3.70,37.00,60.0,,v England,Rawalpindi,21 Dec 2005,2308
10.0,0,68,0,6.80,-,-,,v India,Peshawar,6 Feb 2006,2324
2.0,0,17,0,8.50,-,-,,v India,Rawalpindi,11 Feb 2006,2327
3.0,0,24,0,8.00,-,-,,v India,Lahore,13 Feb 2006,2329
-,-,-,-,-,-,-,,v Sri Lanka,Colombo (RPS),17 Mar 2006,2351
10.0,0,28,2,2.80,14.00,30.0,,v Sri Lanka,Colombo (RPS),19 Mar 2006,2352
10.0,0,37,3,3.70,12.33,20.0,,v Sri Lanka,Colombo (SSC),22 Mar 2006,2354
10.0,0,42,1,4.20,42.00,60.0,,v India,Abu Dhabi,18 Apr 2006,2363
10.0,0,39,1,3.90,39.00,60.0,,v India,Abu Dhabi,19 Apr 2006,2364
10.0,0,42,1,4.20,42.00,60.0,,v Scotland,Edinburgh,27 Jun 2006,2387
8.2,0,38,2,4.56,19.00,25.0,,v England,Cardiff,30 Aug 2006,2408
5.0,0,27,1,5.40,27.00,30.0,,v England,Lord's,2 Sep 2006,2409
6.0,0,26,0,4.33,-,-,,v England,Southampton,5 Sep 2006,2410
5.0,0,25,0,5.00,-,-,,v England,Nottingham,8 Sep 2006,2411
5.0,1,14,2,2.80,7.00,15.0,,v England,Birmingham,10 Sep 2006,2412
10.0,0,47,1,4.70,47.00,60.0,,v Sri Lanka,Jaipur,17 Oct 2006,2431
10.0,0,49,0,4.90,-,-,,v New Zealand,Mohali,25 Oct 2006,2436
6.0,0,26,0,4.33,-,-,,v South Africa,Mohali,27 Oct 2006,2438
2.0,0,13,0,6.50,-,-,,v West Indies,Multan,13 Dec 2006,2464
10.0,0,42,2,4.20,21.00,30.0,,v South Africa,Centurion,4 Feb 2007,2506
9.0,1,25,3,2.77,8.33,18.0,,v South Africa,Durban,7 Feb 2007,2513
-,-,-,-,-,-,-,,v South Africa,Port Elizabeth,9 Feb 2007,2517
4.0,0,20,3,5.00,6.66,8.0,,v Zimbabwe,Kingston,21 Mar 2007,2547
10.0,0,43,0,4.30,-,-,,v Sri Lanka,Abu Dhabi,18 May 2007,2584
10.0,0,37,3,3.70,12.33,20.0,,v Sri Lanka,Abu Dhabi,20 May 2007,2585
10.0,0,48,1,4.80,48.00,60.0,,v South Africa,Lahore,18 Oct 2007,2633
10.0,0,41,1,4.10,41.00,60.0,,v South Africa,Lahore,20 Oct 2007,2635
10.0,0,37,3,3.70,12.33,20.0,,v South Africa,Faisalabad,23 Oct 2007,2637
9.0,0,43,1,4.77,43.00,54.0,,v South Africa,Multan,26 Oct 2007,2639
10.0,0,44,0,4.40,-,-,,v South Africa,Lahore,29 Oct 2007,2642
10.0,0,34,1,3.40,34.00,60.0,,v India,Guwahati,5 Nov 2007,2643
10.0,0,65,1,6.50,65.00,60.0,,v India,Mohali,8 Nov 2007,2644
7.0,0,57,0,8.14,-,-,,v India,Kanpur,11 Nov 2007,2645
10.0,0,67,0,6.70,-,-,,v India,Gwalior,15 Nov 2007,2646
10.0,0,33,2,3.30,16.50,30.0,,v Zimbabwe,Karachi,21 Jan 2008,2662
10.0,1,39,1,3.90,39.00,60.0,,v Zimbabwe,Hyderabad (Sind),24 Jan 2008,2663
10.0,0,60,1,6.00,60.00,60.0,,v Zimbabwe,Multan,27 Jan 2008,2665
10.0,0,57,1,5.70,57.00,60.0,,v Zimbabwe,Faisalabad,30 Jan 2008,2667
7.5,0,41,3,5.23,13.66,15.6,,v Bangladesh,Lahore,8 Apr 2008,2696
10.0,0,33,3,3.30,11.00,20.0,,v Bangladesh,Faisalabad,11 Apr 2008,2698
