Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
119,175,151,8,2,78.80,1,caught,1,,v Kenya,Kimberley,4 Mar 2003,1981
37,61,50,6,0,74.00,1,caught,2,,v Australia,Kingston,17 May 2003,2011
28,72,55,4,0,50.90,1,caught,1,,v Australia,Kingston,18 May 2003,2013
43,-,46,5,1,93.47,1,caught,2,,v Australia,Gros Islet,21 May 2003,2016
84,-,113,7,1,74.33,1,lbw,2,,v Australia,Port of Spain,24 May 2003,2018
5,-,4,1,0,125.00,1,lbw,1,,v Australia,Port of Spain,25 May 2003,2019
18,-,21,3,0,85.71,1,caught,2,,v Australia,St George's,30 May 2003,2020
60,-,68,8,0,88.23,1,bowled,2,,v Australia,St George's,1 Jun 2003,2021
0,-,9,0,0,0.00,1,caught,2,,v Sri Lanka,Bridgetown,7 Jun 2003,2022
94,-,125,12,2,75.20,1,run out,1,,v Sri Lanka,Bridgetown,8 Jun 2003,2023
21,-,75,1,0,28.00,1,bowled,2,,v Sri Lanka,Kingstown,11 Jun 2003,2024
153*,225,160,19,2,95.62,2,not out,1,,v Zimbabwe,Bulawayo,22 Nov 2003,2065
8,25,15,1,0,53.33,2,caught,1,,v Zimbabwe,Bulawayo,23 Nov 2003,2066
61,188,112,7,0,54.46,2,caught,2,,v Zimbabwe,Harare,26 Nov 2003,2067
51,70,34,7,3,150.00,2,caught,1,,v Zimbabwe,Harare,29 Nov 2003,2069
112*,127,75,17,2,149.33,2,not out,2,,v Zimbabwe,Harare,30 Nov 2003,2070
4,18,15,1,0,26.66,1,caught,2,,v South Africa,Cape Town,25 Jan 2004,2088
9,28,20,1,0,45.00,1,caught,2,,v South Africa,Port Elizabeth,28 Jan 2004,2090
1,14,16,0,0,6.25,1,caught,1,,v South Africa,Durban,30 Jan 2004,2092
26,21,22,2,2,118.18,1,caught,2,,v South Africa,Centurion,1 Feb 2004,2094
152*,220,153,12,3,99.34,1,not out,1,,v South Africa,Johannesburg,4 Feb 2004,2096
2,19,17,0,0,11.76,1,bowled,1,,v England,Georgetown,18 Apr 2004,2118
20,47,42,2,0,47.61,1,caught,1,,v England,Port of Spain,24 Apr 2004,2121
36,52,42,5,1,85.71,1,caught,2,,v England,Gros Islet,1 May 2004,2125
9,12,10,1,0,90.00,1,lbw,2,,v England,Gros Islet,2 May 2004,2126
41,70,52,4,1,78.84,1,bowled,1,,v England,Bridgetown,5 May 2004,2127
0,9,8,0,0,0.00,1,caught,2,,v Bangladesh,Kingstown,15 May 2004,2128
7,25,22,1,0,31.81,1,caught,1,,v Bangladesh,Kingstown,16 May 2004,2129
